ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
233080_s_at	0.00083126	1.14e-06	15.418783	PRPF40A	pre-mRNA processing factor 40 homolog A
224796_at	0.00091037	1.29e-06	15.263983	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
228854_at	0.00092072	1.38e-06	15.1762		
243037_at	0.00092072	1.38e-06	15.173342		
224883_at	0.00105719	1.63e-06	14.963096	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6
235716_at	0.00111052	1.80e-06	14.839053		
227608_at	0.00111052	1.81e-06	14.831644	DAP3	death associated protein 3
226460_at	0.00118475	1.99e-06	14.717205	FNIP2	folliculin interacting protein 2
226094_at	0.00120567	2.08e-06	14.662815	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
230057_at	0.00133917	2.37e-06	14.500014	LOC285178	uncharacterized LOC285178
232431_at	0.00136086	2.61e-06	14.375589	NR3C1	nuclear receptor subfamily 3 group C member 1
233878_s_at	0.00136086	2.69e-06	14.338613	XRN2	5'-3' exoribonuclease 2
225119_at	0.00136086	2.72e-06	14.325028	CHMP4B	charged multivesicular body protein 4B
242743_at	0.00136086	2.77e-06	14.303211		
227854_at	0.00136086	2.80e-06	14.287991		
233697_at	0.00136086	2.83e-06	14.277743		
235242_at	0.00136086	2.86e-06	14.262467	REL	REL proto-oncogene, NF-kB subunit
235103_at	0.00136086	2.89e-06	14.249448	MAN2A1	mannosidase alpha class 2A member 1
232276_at	0.00136086	2.94e-06	14.227266	HS6ST3	heparan sulfate 6-O-sulfotransferase 3
237591_at	0.00136624	3.02e-06	14.196027	LINC00173	long intergenic non-protein coding RNA 173
240094_at	0.00136624	3.10e-06	14.164235		
239608_at	0.00136624	3.17e-06	14.133819	LPCAT4	lysophosphatidylcholine acyltransferase 4
241425_at	0.00136624	3.20e-06	14.124882	NUP58	nucleoporin 58
223171_at	0.00142777	3.40e-06	14.047043	DYM	dymeclin
226377_at	0.00143874	3.55e-06	13.994083	NFIC	nuclear factor I C
229434_at	0.00143874	3.61e-06	13.973864		
225928_at	0.00143874	3.62e-06	13.970544	VTI1B	vesicle transport through interaction with t-SNAREs 1B
227150_at	0.00158201	4.05e-06	13.831549	MTF1	metal regulatory transcription factor 1
232138_at	0.00172492	4.49e-06	13.703609	MBNL2	muscleblind like splicing regulator 2
235526_at	0.00178782	4.74e-06	13.638695	SOX6	SRY-box 6
230204_at	0.00190516	5.13e-06	13.540001	HAPLN1	hyaluronan and proteoglycan link protein 1
244677_at	0.00199338	5.46e-06	13.462678	MIR6883///PER1	microRNA 6883///period circadian clock 1
225798_at	0.00199338	5.55e-06	13.444602	JAZF1	JAZF zinc finger 1
225969_at	0.00211951	6.14e-06	13.320367	ALKBH6	alkB homolog 6
231798_at	0.00211951	6.23e-06	13.301734	NOG	noggin
233558_s_at	0.00211951	6.27e-06	13.294665	TRAPPC11	trafficking protein particle complex 11
232304_at	0.00211951	6.34e-06	13.281155	PELI1	pellino E3 ubiquitin protein ligase 1
225479_at	0.00211951	6.48e-06	13.253264	LRRC58	leucine rich repeat containing 58
235837_at	0.00211951	6.53e-06	13.243804	SNIP1	Smad nuclear interacting protein 1
232369_at	0.00211951	6.65e-06	13.222522		
229445_at	0.00211951	6.65e-06	13.222495	CYBA	cytochrome b-245 alpha chain
235198_at	0.00241845	7.69e-06	13.043823	OSTM1	osteopetrosis associated transmembrane protein 1
225674_at	0.00301357	9.74e-06	12.755599	BCAP29	B-cell receptor-associated protein 29
232220_at	0.00301357	9.85e-06	12.741926	S100A7A	S100 calcium binding protein A7A
223377_x_at	0.0031812	1.05e-05	12.659714	CISH	cytokine inducible SH2 containing protein
225856_at	0.00320588	1.08e-05	12.634208	CLOCK	clock circadian regulator
232156_at	0.00326416	1.11e-05	12.59642	AP5M1	adaptor related protein complex 5 mu 1 subunit
225953_at	0.00332551	1.15e-05	12.558121	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A
238714_at	0.0033469	1.18e-05	12.518534		
226740_x_at	0.0033469	1.19e-05	12.514332	NBPF26///NBPF10///NBPF14	neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 14
224790_at	0.0033469	1.20e-05	12.498839	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
236699_at	0.0033469	1.21e-05	12.489627		
235788_at	0.00339495	1.24e-05	12.457629	HCG18	HLA complex group 18 (non-protein coding)
230065_at	0.00340494	1.26e-05	12.439543	ZNF180	zinc finger protein 180
242293_at	0.00352941	1.32e-05	12.381683	ING3	inhibitor of growth family member 3
232628_at	0.00354721	1.35e-05	12.36142		
231199_at	0.00355603	1.38e-05	12.332736		
230012_at	0.00355603	1.38e-05	12.330577	LINC00324	long intergenic non-protein coding RNA 324
231108_at	0.00359015	1.41e-05	12.30534	FUS	FUS RNA binding protein
226611_s_at	0.0036027	1.43e-05	12.287596	CENPV	centromere protein V
228320_x_at	0.0036177	1.45e-05	12.269201	BICDL1	BICD family like cargo adaptor 1
243514_at	0.00371385	1.51e-05	12.223074	WDFY2	WD repeat and FYVE domain containing 2
225350_s_at	0.00371385	1.55e-05	12.191676	ZYG11B	zyg-11 family member B, cell cycle regulator
241471_at	0.00371385	1.56e-05	12.186442		
241827_at	0.00371385	1.56e-05	12.182039	ZNF615	zinc finger protein 615
239294_at	0.00371385	1.57e-05	12.172836	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
236243_at	0.00375805	1.62e-05	12.138583	ZCCHC6	zinc finger CCHC-type containing 6
242145_at	0.00375805	1.63e-05	12.133647		
227536_at	0.00376001	1.64e-05	12.120764	ZC3H13	zinc finger CCCH-type containing 13
237626_at	0.00403295	1.80e-05	12.014452		
229264_at	0.00403295	1.80e-05	12.012116		
223005_s_at	0.00406744	1.83e-05	11.989981	TMEM245	transmembrane protein 245
222826_at	0.0040752	1.85e-05	11.975931	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6
225326_at	0.00410711	1.89e-05	11.954899	RBM27	RNA binding motif protein 27
227856_at	0.00410739	1.90e-05	11.943294	C4orf32	chromosome 4 open reading frame 32
223494_at	0.00411823	1.93e-05	11.928709	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
244185_at	0.00413254	1.96e-05	11.905673		
226589_at	0.00413254	1.97e-05	11.902039	TMEM192	transmembrane protein 192
226425_at	0.00440315	2.12e-05	11.814676	CLIP4	CAP-Gly domain containing linker protein family member 4
242362_at	0.00461857	2.24e-05	11.746326		
223176_at	0.00467045	2.29e-05	11.722052	KCTD20	potassium channel tetramerization domain containing 20
242239_at	0.00479785	2.37e-05	11.678999	NSUN6	NOP2/Sun RNA methyltransferase family member 6
222465_at	0.00483808	2.41e-05	11.658322	RSL24D1	ribosomal L24 domain containing 1
237199_at	0.00484192	2.44e-05	11.646807		
225090_at	0.00538406	2.73e-05	11.50922	MIR6751///SYVN1	microRNA 6751///synoviolin 1
230353_at	0.00580224	2.97e-05	11.409421	MIR497HG///MIR497///MIR195///LOC284112	mir-497-195 cluster host gene///microRNA 497///microRNA 195///uncharacterized LOC284112
238034_at	0.0059885	3.09e-05	11.361423	CANX	calnexin
222620_s_at	0.00601894	3.14e-05	11.345208	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1
200096_s_at	0.00609631	3.22e-05	11.312913	ATP6V0E1	ATPase H+ transporting V0 subunit e1
233127_at	0.00609631	3.23e-05	11.309905		
225236_at	0.00615432	3.29e-05	11.286769	RBM18	RNA binding motif protein 18
224777_s_at	0.00615432	3.32e-05	11.277854	PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2
244536_at	0.00615432	3.34e-05	11.269151		
223650_s_at	0.00620694	3.40e-05	11.249346	NRBF2	nuclear receptor binding factor 2
238365_s_at	0.00622339	3.45e-05	11.231827	C1orf228	chromosome 1 open reading frame 228
223261_at	0.00622339	3.47e-05	11.224835	POLK	DNA polymerase kappa
228065_at	0.00622339	3.49e-05	11.217698	BCL9L	B-cell CLL/lymphoma 9-like
236019_at	0.0062362	3.52e-05	11.205902	RAB12	RAB12, member RAS oncogene family
226875_at	0.00627537	3.57e-05	11.18917	DOCK11	dedicator of cytokinesis 11
242669_at	0.00642536	3.69e-05	11.15149	UFM1	ubiquitin fold modifier 1
226135_at	0.00642536	3.74e-05	11.136235	UHRF1BP1	UHRF1 binding protein 1
226153_s_at	0.00642536	3.75e-05	11.133673	CNOT6L	CCR4-NOT transcription complex subunit 6 like
227047_x_at	0.0065012	3.82e-05	11.110727	ZBTB4	zinc finger and BTB domain containing 4
228424_at	0.00651016	3.85e-05	11.100177	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like 1
226459_at	0.00658784	3.94e-05	11.074493	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1
239512_at	0.00658784	3.96e-05	11.068449	SRSF4	serine and arginine rich splicing factor 4
244803_at	0.00668131	4.06e-05	11.036387		
225425_s_at	0.00668131	4.07e-05	11.034346	MRPL41	mitochondrial ribosomal protein L41
236664_at	0.00674012	4.14e-05	11.01535	AKT2	AKT serine/threonine kinase 2
229501_s_at	0.00678871	4.22e-05	10.99302	USP8	ubiquitin specific peptidase 8
243788_at	0.00678871	4.23e-05	10.989845		
222437_s_at	0.00679571	4.26e-05	10.980228	RNF103-CHMP3///CHMP3	RNF103-CHMP3 readthrough///charged multivesicular body protein 3
226895_at	0.00680676	4.30e-05	10.969965	NFIC	nuclear factor I C
227558_at	0.00691806	4.40e-05	10.942437	CBX4	chromobox 4
242531_at	0.00701555	4.49e-05	10.917617	RRAGC	Ras related GTP binding C
242829_x_at	0.00705737	4.58e-05	10.895182		
231295_at	0.00705737	4.58e-05	10.894316	ME3	malic enzyme 3
235200_at	0.00718844	4.70e-05	10.864453	ZNF561///ZNF562	zinc finger protein 561///zinc finger protein 562
225543_at	0.00730256	4.80e-05	10.837799	GTF3C4	general transcription factor IIIC subunit 4
240307_at	0.00730594	4.84e-05	10.829325		
244801_at	0.00731313	4.90e-05	10.814132	PSMB7	proteasome subunit beta 7
231812_x_at	0.00731313	4.94e-05	10.805422	PHAX	phosphorylated adaptor for RNA export
226979_at	0.00731313	4.94e-05	10.804697	MAP3K2	mitogen-activated protein kinase kinase kinase 2
226519_s_at	0.00736216	5.02e-05	10.785398	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
230847_at	0.00736216	5.04e-05	10.781401	WRNIP1	Werner helicase interacting protein 1
222389_s_at	0.0074782	5.15e-05	10.75527	WAC	WW domain containing adaptor with coiled-coil
232216_at	0.0075606	5.24e-05	10.734737	YME1L1	YME1 like 1 ATPase
239133_at	0.00756307	5.28e-05	10.726838	CTDSPL2	CTD small phosphatase like 2
225558_at	0.00762197	5.35e-05	10.709839	GIT2	GIT ArfGAP 2
227560_at	0.00762197	5.39e-05	10.702778	SFXN2	sideroflexin 2
222559_s_at	0.00764422	5.46e-05	10.687259	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A
225718_at	0.00764422	5.50e-05	10.678094	LNPK	lunapark, ER junction formation factor
228009_x_at	0.00764422	5.50e-05	10.677362	ZNRD1	zinc ribbon domain containing 1
242263_at	0.00776476	5.62e-05	10.651634	TMED5	transmembrane p24 trafficking protein 5
244352_at	0.00794916	5.87e-05	10.600338	CD84	CD84 molecule
232280_at	0.00794916	5.88e-05	10.599734	SLC25A29	solute carrier family 25 member 29
232909_s_at	0.00794916	5.90e-05	10.595462	BPTF	bromodomain PHD finger transcription factor
224720_at	0.00794916	5.90e-05	10.594722	MIB1	mindbomb E3 ubiquitin protein ligase 1
235900_at	0.00794916	5.93e-05	10.588424	SPNS3	sphingolipid transporter 3 (putative)
200027_at	0.00814225	6.11e-05	10.553124	NARS	asparaginyl-tRNA synthetase
233169_at	0.00879345	6.64e-05	10.455457	ZNF350	zinc finger protein 350
230264_s_at	0.00887406	6.76e-05	10.433852	AP1S2	adaptor related protein complex 1 sigma 2 subunit
225842_at	0.00887406	6.78e-05	10.431001	PHLDA1	pleckstrin homology like domain family A member 1
226128_at	0.00899029	6.91e-05	10.408881	BROX	BRO1 domain and CAAX motif containing
231533_at	0.00905212	7.00e-05	10.394061		
229367_s_at	0.00909868	7.13e-05	10.371105	GIMAP6	GTPase, IMAP family member 6
223894_s_at	0.00909868	7.17e-05	10.364485	AKTIP	AKT interacting protein
224572_s_at	0.00909868	7.19e-05	10.361956	IRF2BP2	interferon regulatory factor 2 binding protein 2
229968_at	0.00909868	7.19e-05	10.361414		
234588_at	0.00912709	7.26e-05	10.35069		
223809_at	0.00912709	7.30e-05	10.344669	RGS18	regulator of G-protein signaling 18
232356_at	0.0092165	7.41e-05	10.326716		
226434_at	0.00938545	7.60e-05	10.296803	PPP1R35	protein phosphatase 1 regulatory subunit 35
225692_at	0.00938545	7.63e-05	10.291803	CAMTA1	calmodulin binding transcription activator 1
236226_at	0.00938545	7.67e-05	10.286124	BTLA	B and T lymphocyte associated
226220_at	0.00983626	8.08e-05	10.223942	METTL9	methyltransferase like 9
225091_at	0.00983626	8.14e-05	10.216351	ZCCHC3	zinc finger CCHC-type containing 3
234366_x_at	0.00983626	8.17e-05	10.212091	IGLJ3///CKAP2///IGLV@///IGLC1	immunoglobulin lambda joining 3///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
232364_at	0.00989591	8.26e-05	10.198761	LOC100506235	uncharacterized LOC100506235
244447_at	0.00991257	8.32e-05	10.190589		
224865_at	0.01006357	8.49e-05	10.165885	FAR1	fatty acyl-CoA reductase 1
235434_at	0.01006357	8.53e-05	10.160551	CCDC134	coiled-coil domain containing 134
222852_at	0.01013616	8.67e-05	10.142416	C10orf88	chromosome 10 open reading frame 88
225101_s_at	0.01013616	8.68e-05	10.139957	SNX14	sorting nexin 14
232354_at	0.01014121	8.73e-05	10.133267		
232226_at	0.01014121	8.78e-05	10.127341	LRRC4C	leucine rich repeat containing 4C
239052_at	0.01014293	8.82e-05	10.121172		
222495_at	0.01038184	9.08e-05	10.087934	TMEM167B	transmembrane protein 167B
223961_s_at	0.01038501	9.13e-05	10.081671	CISH	cytokine inducible SH2 containing protein
224745_x_at	0.01038758	9.17e-05	10.075505	OTUD5	OTU deubiquitinase 5
235023_at	0.01045789	9.28e-05	10.061753	VPS13C	vacuolar protein sorting 13 homolog C
242299_at	0.01058749	9.44e-05	10.041506		
225793_at	0.01060376	9.51e-05	10.033922	LIX1L	limb and CNS expressed 1 like
232524_x_at	0.01062407	9.57e-05	10.025925	ANAPC4	anaphase promoting complex subunit 4
243947_s_at	0.01084144	9.81e-05	9.996481		
242593_at	0.01092126	9.93e-05	9.982197		
235138_at	0.01107669	1.01e-04	9.95999		
225658_at	0.01107727	1.02e-04	9.949263	SPOPL	speckle type BTB/POZ protein like
226603_at	0.01107727	1.03e-04	9.942008	SAMD9L	sterile alpha motif domain containing 9 like
224754_at	0.01107727	1.03e-04	9.940652	SP1	Sp1 transcription factor
232528_at	0.01107727	1.03e-04	9.937536		
243889_at	0.01114656	1.04e-04	9.924713		
236322_at	0.01115165	1.05e-04	9.915426		
229297_at	0.01115165	1.05e-04	9.913197	GPATCH2L	G-patch domain containing 2 like
228415_at	0.01118936	1.07e-04	9.899971	AP1S2	adaptor related protein complex 1 sigma 2 subunit
224900_at	0.01118936	1.07e-04	9.898373	ANKFY1	ankyrin repeat and FYVE domain containing 1
226771_at	0.01120874	1.07e-04	9.890951	ATP8B2	ATPase phospholipid transporting 8B2
225494_at	0.01131848	1.09e-04	9.874188	DYNLL2	dynein light chain LC8-type 2
224761_at	0.01143573	1.11e-04	9.856798	GNA13	G protein subunit alpha 13
239049_at	0.01170685	1.14e-04	9.824105	CRIPT	CXXC repeat containing interactor of PDZ3 domain
244649_at	0.01175385	1.15e-04	9.81413	LOC646484	uncharacterized LOC646484
239106_at	0.01179744	1.16e-04	9.799993	CA5BP1	carbonic anhydrase 5B pseudogene 1
234753_x_at	0.01179744	1.16e-04	9.79929		
226353_at	0.01190559	1.18e-04	9.783415	SPPL2A	signal peptide peptidase like 2A
228454_at	0.01203022	1.20e-04	9.766064	LCOR	ligand dependent nuclear receptor corepressor
223310_x_at	0.01215821	1.21e-04	9.748543	PNPLA8	patatin like phospholipase domain containing 8
227590_at	0.01219402	1.23e-04	9.736194	CDPF1	cysteine rich DPF motif domain containing 1
200004_at	0.01219402	1.23e-04	9.734835	EIF4G2	eukaryotic translation initiation factor 4 gamma 2
233019_at	0.01247227	1.26e-04	9.700887	CNOT7	CCR4-NOT transcription complex subunit 7
225131_at	0.01247227	1.27e-04	9.698344	ZRANB1	zinc finger RANBP2-type containing 1
238023_at	0.01254834	1.28e-04	9.6862		
222669_s_at	0.01272289	1.30e-04	9.665068	SBDSP1///SBDS	Shwachman-Bodian-Diamond syndrome pseudogene 1///SBDS ribosome assembly guanine nucleotide exchange factor
228947_x_at	0.0127656	1.32e-04	9.651772	TMEM204	transmembrane protein 204
230767_at	0.0127656	1.32e-04	9.651164		
242573_at	0.01281403	1.33e-04	9.637626		
225815_at	0.01281403	1.34e-04	9.63684	CPLX2	complexin 2
234210_x_at	0.01288678	1.36e-04	9.615584	ACTR2	ARP2 actin related protein 2 homolog
226753_at	0.01288678	1.37e-04	9.611126	FAM76B	family with sequence similarity 76 member B
225215_s_at	0.01288678	1.37e-04	9.609758	MTRF1L	mitochondrial translational release factor 1 like
226865_at	0.01288678	1.37e-04	9.609276	PLXDC2	plexin domain containing 2
240723_at	0.01288678	1.37e-04	9.605836		
238524_at	0.01305434	1.40e-04	9.585981	DENND2D	DENN domain containing 2D
225956_at	0.01328737	1.44e-04	9.55315	CREBRF	CREB3 regulatory factor
237180_at	0.01328737	1.44e-04	9.55165		
241692_at	0.01328737	1.44e-04	9.55106		
243295_at	0.01331422	1.45e-04	9.543975	RBM27	RNA binding motif protein 27
230756_at	0.01332103	1.45e-04	9.538372	ZNF683	zinc finger protein 683
222667_s_at	0.01332103	1.46e-04	9.533963	ASH1L	ASH1 like histone lysine methyltransferase
226388_at	0.0133225	1.46e-04	9.529155	TCEA3	transcription elongation factor A3
224658_x_at	0.01352519	1.49e-04	9.50694	PACS1	phosphofurin acidic cluster sorting protein 1
230703_at	0.01382613	1.53e-04	9.476726		
240383_at	0.01398061	1.56e-04	9.458119	UBE2D3	ubiquitin conjugating enzyme E2 D3
222533_at	0.01398061	1.57e-04	9.451824	CRBN	cereblon
235043_at	0.01398061	1.58e-04	9.443708	FAM122A	family with sequence similarity 122A
242438_at	0.01398061	1.58e-04	9.443559	ASXL1	additional sex combs like 1, transcriptional regulator
226917_s_at	0.01398061	1.59e-04	9.437187	ANAPC4	anaphase promoting complex subunit 4
238538_at	0.01398061	1.59e-04	9.436379	ANKRD11	ankyrin repeat domain 11
228879_at	0.01426715	1.63e-04	9.408316	SNORD104///SNORA50C	small nucleolar RNA, C/D box 104///small nucleolar RNA, H/ACA box 50C
230058_at	0.01431002	1.64e-04	9.399012	SDCCAG3	serologically defined colon cancer antigen 3
237430_at	0.01431002	1.64e-04	9.395872		
233937_at	0.01438194	1.66e-04	9.384228	GGNBP2	gametogenetin binding protein 2
233055_at	0.01438194	1.67e-04	9.378112		
223598_at	0.01438194	1.67e-04	9.376742	RAD23B	RAD23 homolog B, nucleotide excision repair protein
237330_at	0.01477664	1.72e-04	9.340937		
222453_at	0.01477755	1.73e-04	9.333973	CYBRD1	cytochrome b reductase 1
226432_at	0.01477755	1.74e-04	9.332115	ETNK1	ethanolamine kinase 1
230395_at	0.01500124	1.78e-04	9.304426	METTL9	methyltransferase like 9
242903_at	0.01500124	1.78e-04	9.302581	IFNGR1	interferon gamma receptor 1
229252_at	0.01500124	1.78e-04	9.301699	ATG9B	autophagy related 9B
223309_x_at	0.01509687	1.80e-04	9.290035	PNPLA8	patatin like phospholipase domain containing 8
224785_at	0.01511342	1.81e-04	9.284428	UBALD2	UBA like domain containing 2
223436_s_at	0.01511342	1.82e-04	9.280215	TRPT1	tRNA phosphotransferase 1
229927_at	0.01512369	1.82e-04	9.275177	LEMD1	LEM domain containing 1
222980_at	0.0151375	1.83e-04	9.269884	RAB10	RAB10, member RAS oncogene family
243020_at	0.01532849	1.86e-04	9.251142	FAM13A-AS1	FAM13A antisense RNA 1
225703_at	0.01551283	1.90e-04	9.230412	FBRSL1	fibrosin like 1
223260_s_at	0.01551283	1.90e-04	9.22891	POLK	DNA polymerase kappa
233461_x_at	0.01558239	1.91e-04	9.21956	ZNF226	zinc finger protein 226
228708_at	0.01586555	1.97e-04	9.184918	RAB27B	RAB27B, member RAS oncogene family
226336_at	0.01586555	1.97e-04	9.184829	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
224341_x_at	0.01586555	1.97e-04	9.18372	TLR4	toll like receptor 4
224949_at	0.01586555	1.98e-04	9.182051	YIPF5	Yip1 domain family member 5
240165_at	0.01586555	1.98e-04	9.178094		
227915_at	0.01591797	2.00e-04	9.170198	ASB2	ankyrin repeat and SOCS box containing 2
236380_at	0.01598064	2.02e-04	9.159297	RPP14	ribonuclease P/MRP subunit p14
243768_at	0.01598064	2.02e-04	9.157537		
228277_at	0.0160755	2.04e-04	9.146658	FBXL19	F-box and leucine rich repeat protein 19
224656_s_at	0.01614922	2.05e-04	9.137257	LUZP6///MTPN	leucine zipper protein 6///myotrophin
239619_at	0.01614922	2.06e-04	9.133338		
225447_at	0.01615125	2.07e-04	9.1292	GPD2	glycerol-3-phosphate dehydrogenase 2
240452_at	0.01622671	2.09e-04	9.119833	GSPT1	G1 to S phase transition 1
228153_at	0.01641035	2.12e-04	9.102863	RNF144B	ring finger protein 144B
224778_s_at	0.01644836	2.13e-04	9.094534	TAOK1	TAO kinase 1
236836_at	0.01644836	2.14e-04	9.092303	LOC105379045	uncharacterized LOC105379045
227486_at	0.01650473	2.15e-04	9.084428	NT5E	5'-nucleotidase ecto
222624_s_at	0.01676244	2.20e-04	9.059458	ZNF639	zinc finger protein 639
228498_at	0.01676244	2.20e-04	9.056575		
222689_at	0.01676244	2.21e-04	9.054847	ACER3	alkaline ceramidase 3
222807_at	0.01678116	2.22e-04	9.04969	EMSY	EMSY, BRCA2 interacting transcriptional repressor
228195_at	0.01679547	2.23e-04	9.043392	C2orf88	chromosome 2 open reading frame 88
225264_at	0.01679547	2.24e-04	9.038094	RARS2	arginyl-tRNA synthetase 2, mitochondrial
224920_x_at	0.01679547	2.24e-04	9.036312	MYADM	myeloid associated differentiation marker
243192_at	0.01679547	2.25e-04	9.033364		
242505_at	0.01686304	2.27e-04	9.023279		
228145_s_at	0.01686304	2.27e-04	9.021136	ZNF398	zinc finger protein 398
234803_at	0.01701467	2.31e-04	9.00388	CSTL1	cystatin like 1
227446_s_at	0.01701467	2.31e-04	9.003264	DHRS4-AS1	DHRS4 antisense RNA 1
227585_at	0.01714769	2.33e-04	8.990527	ATAD1	ATPase family, AAA domain containing 1
225125_at	0.01730659	2.36e-04	8.976149	MMGT1	membrane magnesium transporter 1
236256_at	0.01737832	2.38e-04	8.96509		
236191_at	0.01737832	2.39e-04	8.963938		
225549_at	0.01804512	2.49e-04	8.916835	DDX6	DEAD-box helicase 6
228071_at	0.01826313	2.53e-04	8.898739	GIMAP7	GTPase, IMAP family member 7
226470_at	0.01826313	2.53e-04	8.895636	GGT7	gamma-glutamyltransferase 7
222865_x_at	0.01844278	2.57e-04	8.880699	TMEM204	transmembrane protein 204
240207_at	0.01845357	2.58e-04	8.876375		
228180_at	0.01861237	2.61e-04	8.86218		
225863_s_at	0.01861237	2.62e-04	8.855391	C19orf12	chromosome 19 open reading frame 12
224434_s_at	0.01861237	2.63e-04	8.852226	WDR83	WD repeat domain 83
229574_at	0.01861237	2.63e-04	8.85136	TRA2A	transformer 2 alpha homolog
223476_s_at	0.01861237	2.64e-04	8.847433	C12orf65	chromosome 12 open reading frame 65
223487_x_at	0.01861237	2.65e-04	8.844204	GNB4	G protein subunit beta 4
222497_x_at	0.01861237	2.66e-04	8.839287	NMD3	NMD3 ribosome export adaptor
224619_at	0.01861237	2.67e-04	8.83554	CASC4	cancer susceptibility candidate 4
240695_at	0.01861237	2.67e-04	8.834178		
225924_at	0.0186312	2.68e-04	8.829479	FNIP2	folliculin interacting protein 2
222574_s_at	0.01878335	2.71e-04	8.816595	DHX40	DEAH-box helicase 40
224288_x_at	0.01892363	2.74e-04	8.803177	FKSG49	FKSG49
225392_at	0.01892363	2.75e-04	8.801019	GFM2	G elongation factor mitochondrial 2
226198_at	0.01896844	2.76e-04	8.794807	TOM1L2	target of myb1 like 2 membrane trafficking protein
226215_s_at	0.01898484	2.77e-04	8.790333	KDM2B	lysine demethylase 2B
223088_x_at	0.01917115	2.82e-04	8.772685	ECHDC1	ethylmalonyl-CoA decarboxylase 1
226932_at	0.01917115	2.82e-04	8.770276	SSPN	sarcospan
228433_at	0.01917115	2.83e-04	8.768726	NFYA	nuclear transcription factor Y subunit alpha
224009_x_at	0.01923191	2.85e-04	8.761651	DHRS9	dehydrogenase/reductase 9
224899_s_at	0.01948374	2.89e-04	8.74327	MAGT1	magnesium transporter 1
